line_id,description,start_time,end_time,logs_count,duration_minutes
Other,Linie 31: Fahrtbehinderung in Richtung Stammersdorf. Voraussichtliche Dauer: 23:10 Uhr. Grund: Polizeieinsatz im Haltestellenbereich Obere Donaustraße.,2026-03-20 22:00:22,2026-03-20 22:00:22,1,0.0
Other,Linie 31: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 13:45:11,2026-03-20 22:45:09,17,1979.9666666666667
Other,Linie 36B: Unregelmäßige Intervalle in beiden Richtungen U. Grund: Betriebsstörung im Haltestellenbereich Carabelligasse.,2026-03-19 16:30:18,2026-03-19 17:15:10,4,44.86666666666667
Other,"Linie 37: Betrieb nur zwischen Hohe Warte und Nußdorfer Straße U. Linie 38: Betrieb nur zwischen Grinzing und Nußdorfer Straße U. Weichen Sie ersatzweise auf die Linien U6, 40, 41 und 42 aus. Voraussichtliche Dauer: Nicht absehbar. Grund: Fremder Verkehrsunfall im Bereich Nußdorfer Straße 50.",2026-03-19 22:30:16,2026-03-19 22:30:16,1,0.0
Other,Linie 37: Fahrtbehinderung in Richtung Schottentor U. Voraussichtliche Dauer: 16:45 Uhr. Grund: Falschparker im Bereich Döblinger Hauptstraße.,2026-03-22 15:15:10,2026-03-22 15:15:10,1,0.0
Other,Linie 37: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 22:45:15,2026-03-22 17:39:14,11,4013.983333333333
Other,Linie 37: Unregelmäßige Intervalle in beiden Richtungen. Grund: Falschparker im Haltestellenbereich Hohe Warte.,2026-03-21 19:00:23,2026-03-21 20:15:09,6,74.76666666666667
Other,Linie 38: Fahrtbehinderung in Richtung Schottentor U. Voraussichtliche Dauer: 00:35 Uhr. Grund: Rettungseinsatz im Haltestellenbereich Grinzing.,2026-03-20 23:30:16,2026-03-20 23:30:16,1,0.0
Other,Linie 38: Nach einer Fahrtbehinderung kommt es zu unterschiedlichen Intervallen.,2026-03-19 22:45:15,2026-03-21 00:15:09,5,1529.9
Other,Linie 38: Unregelmäßige Intervalle in beiden Richtungen. Grund: Schadhaftes Fahrzeug.,2026-03-20 07:00:25,2026-03-20 07:45:15,4,44.833333333333336
